attribute,group,n,default_rate,decline_rate,AUC
SEX,male,3563,0.239,0.323,0.769
SEX,female,5437,0.21,0.285,0.79
AGE_band,<30,3285,0.221,0.332,0.789
AGE_band,30-40,3193,0.201,0.266,0.78
AGE_band,40-50,1818,0.242,0.294,0.776
AGE_band,50+,704,0.26,0.322,0.769
EDUCATION,grad_school,3206,0.187,0.253,0.787
EDUCATION,university,4197,0.241,0.321,0.785
EDUCATION,high_school,1477,0.253,0.355,0.747
EDUCATION,other,120,0.067,0.15,0.616
MARRIAGE,married,4133,0.239,0.295,0.782
MARRIAGE,single,4756,0.207,0.304,0.783
MARRIAGE,other,111,0.18,0.324,0.712
